#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 696000      3.28e-01      2.73e-02      1.52e-02    4.2e-04
 698000      1.40e-01      5.97e-03      6.58e-03    4.2e-04
 700000      6.11e-02      5.36e-03      2.76e-03    4.2e-04
 702000      1.46e-01      1.65e-02      5.16e-03    4.2e-04
 704000      1.19e-01      1.93e-02      5.42e-04    4.2e-04
 706000      4.09e-01      7.51e-03      1.99e-02    4.2e-04
 708000      1.16e-01      1.15e-02      4.49e-03    4.2e-04
 710000      8.08e-01      2.97e-03      3.95e-02    4.2e-04
 712000      4.18e-01      1.12e-02      2.03e-02    4.2e-04
 714000      4.87e-02      7.53e-05      2.38e-03    4.2e-04
 716000      6.85e-01      6.39e-03      3.35e-02    4.2e-04
 718000      3.09e-01      2.20e-02      1.44e-02    4.2e-04
 720000      6.13e-01      1.53e-02      3.06e-02    4.0e-04
 722000      5.01e-01      8.74e-03      2.50e-02    4.0e-04
 724000      4.88e-01      7.99e-03      2.44e-02    4.0e-04
 726000      1.41e-01      1.13e-02      6.60e-03    4.0e-04
 728000      5.71e-01      3.03e-03      2.86e-02    4.0e-04
 730000      2.14e-01      3.74e-02      6.87e-03    4.0e-04
 732000      5.69e-01      2.30e-02      2.82e-02    4.0e-04
 734000      2.78e-01      3.65e-02      8.00e-03    4.0e-04
 736000      9.86e-02      1.24e-02      3.07e-03    4.0e-04
 738000      1.03e-01      3.20e-03      5.08e-03    4.0e-04
 740000      5.43e-01      9.12e-03      2.71e-02    4.0e-04
 742000      1.04e-01      7.75e-03      4.63e-03    4.0e-04
 744000      2.94e-01      4.08e-02      7.39e-03    4.0e-04
 746000      7.85e-01      2.22e-02      3.87e-02    4.0e-04
 748000      5.74e-02      4.76e-03      2.47e-03    4.0e-04
 750000      1.04e-01      1.45e-02      4.13e-03    4.0e-04
 752000      1.19e-01      2.33e-02      3.01e-03    4.0e-04
 754000      7.05e-02      1.07e-02      1.12e-03    4.0e-04
 756000      3.92e-01      2.50e-03      1.96e-02    4.0e-04
 758000      3.77e-01      2.43e-03      1.89e-02    4.0e-04
 760000      1.16e-01      4.59e-03      5.76e-03    3.8e-04
 762000      6.70e-01      3.67e-03      3.45e-02    3.8e-04
 764000      3.40e-01      7.26e-03      1.73e-02    3.8e-04
 766000      1.07e-01      1.40e-02      3.03e-03    3.8e-04
 768000      2.07e-01      3.00e-02      4.23e-03    3.8e-04
 770000      3.89e-01      1.17e-02      1.98e-02    3.8e-04
 772000      4.51e-01      5.81e-03      2.31e-02    3.8e-04
 774000      1.56e-01      1.54e-02      6.28e-03    3.8e-04
 776000      4.55e-02      1.30e-03      2.30e-03    3.8e-04
 778000      8.62e-02      1.10e-03      4.42e-03    3.8e-04
 780000      4.88e-01      8.32e-03      2.51e-02    3.8e-04
 782000      4.44e-01      2.39e-02      2.22e-02    3.8e-04
 784000      1.26e-01      1.09e-02      5.39e-03    3.8e-04
 786000      1.89e-01      2.51e-02      5.24e-03    3.8e-04
 788000      4.73e-01      1.41e-02      2.42e-02    3.8e-04
 790000      5.85e-02      5.30e-03      2.75e-03    3.8e-04
 792000      4.57e-01      4.93e-03      2.35e-02    3.8e-04
 794000      2.20e-01      1.25e-02      1.09e-02    3.8e-04
 796000      3.43e-01      6.63e-03      1.76e-02    3.8e-04
 798000      8.00e-02      8.33e-03      3.64e-03    3.8e-04
 800000      1.00e-01      5.16e-03      5.16e-03    3.6e-04
 802000      1.10e-01      1.79e-03      5.81e-03    3.6e-04
